ash,ash_alkalinity,magnesium,nonflav_phenols,proanth,colour,vintage
2.14,11.2,100,0.26,1.28,col4,B
2.67,18.6,101,0.3,2.81,col3,B
2.5,16.8,113,0.24,2.18,col2,B
2.87,21,118,0.39,1.82,col4,B
2.45,15.2,112,0.34,1.97,col3,B
2.45,14.6,96,0.3,1.98,col3,B
2.61,17.6,121,0.31,1.25,col3,B
2.17,14,97,0.29,1.98,col3,B
2.27,16,98,0.22,1.85,col3,B
2.3,18,105,0.22,2.38,col3,B
2.32,16.8,95,0.26,1.57,col4,B
2.41,16,89,0.29,1.81,col3,B
2.39,11.4,91,0.43,2.81,col3,B
2.38,12,102,0.29,2.96,col3,B
2.7,17.2,112,0.3,1.46,col3,B
2.72,20,120,0.33,1.97,col3,B
2.62,20,115,0.4,1.72,col3,B
2.48,16.5,108,0.32,1.86,col3,B
2.56,15.2,116,0.17,1.66,col2,B
2.28,16,126,0.24,2.1,col3,B
2.65,18.6,102,0.25,1.98,col4,B
2.36,16.6,101,0.27,1.69,col4,B
2.52,17.8,95,0.26,1.46,col4,B
2.61,20,96,0.28,1.66,col4,B
3.22,25,124,0.47,1.92,col4,B
2.62,16.1,93,0.34,1.45,col1,B
2.14,17,94,0.27,1.35,col4,B
2.8,19.4,107,0.37,1.76,col4,B
2.21,16,96,0.26,1.98,col4,B
2.7,22.5,101,0.29,2.38,col3,B
2.36,19.1,106,0.22,1.95,col3,B
2.36,17.2,104,0.42,1.97,col4,B
2.7,19.5,132,0.5,1.35,col3,B
2.65,19,110,0.29,1.54,col4,B
2.41,20.5,100,0.26,1.86,col3,B
2.84,15.5,110,0.34,1.36,col4,B
2.55,18,98,0.29,1.44,col4,B
2.1,15.5,98,0.28,1.37,col4,B
2.51,13.2,128,0.2,2.08,col2,B
2.31,16.2,117,0.34,2.34,col2,B
2.12,18.8,90,0.27,1.48,col1,B
2.59,15,101,0.17,1.7,col2,B
2.29,17.5,103,0.32,1.66,col1,B
2.1,17,107,0.28,2.03,col2,B
2.44,18.9,111,0.3,1.25,col2,B
2.28,16,102,0.27,2.19,col4,B
2.12,16,101,0.21,2.14,col2,B
2.4,18.8,103,0.32,2.38,col3,B
2.27,17.4,108,0.32,2.08,col3,B
2.04,12.4,92,0.17,2.91,col3,B
2.6,17.2,94,0.22,2.29,col3,B
2.42,14,111,0.32,1.87,col3,B
2.68,17.1,115,0.39,1.68,col3,B
2.25,16.4,118,0.21,1.62,col2,B
2.46,20.5,116,0.2,2.45,col2,B
2.3,16.3,118,0.26,2.03,col2,B
2.68,16.8,102,0.31,1.66,col3,B
2.5,16.7,108,0.19,2.04,col2,B
1.36,10.6,88,0.28,0.42,col4,C
2.28,16,101,0.63,0.41,col4,C
2.02,16.8,100,0.53,0.62,col2,C
1.92,18,94,0.32,0.73,col4,C
2.16,19,87,0.19,1.87,col4,C
2.53,19,104,0.45,1.03,col4,C
2.56,18.1,98,0.37,2.08,col4,C
1.7,15,78,0.26,2.28,col3,C
1.92,19.6,78,0.27,1.04,col4,C
2.36,17,110,0.55,0.42,col4,C
1.75,16.8,151,0.14,2.5,col4,C
2.21,20.4,103,0.37,1.46,col1,C
2.67,25,86,0.21,1.87,col4,C
2.24,24,87,0.27,1.03,col1,C
2.6,30,139,0.21,1.96,col4,C
2.3,21,101,0.13,1.65,col1,C
1.92,16,97,0.34,1.15,col4,C
1.71,16,86,0.24,1.46,col4,C
2.23,18,112,0.43,0.95,col1,C
1.95,14.8,136,0.35,2.76,col4,C
2.4,23,101,0.43,1.95,col4,C
2,19,86,0.3,1.43,col4,C
2.2,18.8,86,0.26,1.77,col4,C
2.51,24,78,0.4,1.4,col4,C
2.32,22.5,85,0.61,1.62,col1,C
2.58,18,94,0.22,2.35,col1,C
2.24,18,99,0.3,1.46,col4,C
2.31,22.8,90,0.43,1.56,col4,C
2.62,26,88,0.4,1.34,col4,C
2.46,21.6,84,0.48,1.35,col1,C
2.3,23.6,70,0.42,1.38,col4,C
2.32,18.5,81,0.52,1.64,col4,C
2.42,22,86,0.5,1.63,col4,C
2.26,20.7,80,0.58,1.62,col1,C
2.22,18,88,0.25,1.99,col4,C
2.28,18,98,0.17,1.35,col4,C
2.2,19,162,0.32,3.28,col4,C
2.74,21.5,134,0.14,1.56,col1,C
1.98,16,85,0.29,1.77,col4,C
2.1,18.5,88,0.24,1.95,col4,C
2.21,18,88,0.45,2.81,col4,C
1.7,17.5,97,0.26,1.4,col4,C
1.9,18.5,88,0.29,1.35,col4,C
2.46,21,98,0.34,1.31,col1,C
1.88,19.5,86,0.37,1.42,col1,C
1.98,20.5,85,0.32,1.48,col4,C
2.27,22,90,0.66,1.42,col1,C
2.12,19,80,0.37,1.63,col1,C
2.28,22.5,84,0.48,1.63,col1,C
1.94,19,92,0.39,2.08,col1,C
2.7,20,94,0.29,2.49,col1,C
1.82,19.5,107,0.24,3.58,col1,C
2.17,21,88,0.26,1.22,col1,C
2.92,20,103,0.6,1.05,col4,C
2.5,21,88,0.42,1.44,col4,C
2.5,22.5,84,0.43,1.04,col1,C
2.2,21.5,85,0.52,2.01,col4,C
1.99,20.8,86,0.3,1.53,col1,C
2.19,22.5,108,0.34,1.61,col4,C
1.98,16,80,0.43,0.83,col1,C
2,19,87,0.37,1.87,col1,C
2.42,20,96,0.32,1.83,col1,C
3.23,28.5,119,0.47,1.87,col2,C
2.73,26.5,102,0.43,1.71,col1,C
2.13,21.5,86,0.3,2.01,col1,C
2.39,21,82,0.21,2.91,col1,C
2.17,21,85,0.37,1.35,col1,C
2.29,21.5,86,0.39,1.77,col1,C
2.78,28.5,92,0.58,1.76,col1,C
2.3,24.5,88,0.4,1.9,col1,C
2.38,22,80,0.42,1.35,col1,C
2.32,18,122,0.21,0.94,col1,A
2.4,20,104,0.24,0.83,col2,A
2.4,24,98,0.27,0.83,col2,A
2.36,21.5,106,0.17,0.84,col1,A
2.25,17.5,85,0.6,1.25,col2,A
2.2,18.5,94,0.63,0.94,col2,A
2.54,21,89,0.53,0.8,col1,A
2.64,25,96,0.63,1.1,col1,A
2.19,19.5,88,0.58,0.88,col2,A
2.61,24,101,0.53,0.81,col1,A
2.7,21,96,0.53,0.75,col1,A
2.35,20,89,0.37,0.64,col2,A
2.72,23.5,97,0.5,0.55,col1,A
2.35,20,92,0.47,1.02,col1,A
2.2,18.5,112,0.29,1.14,col2,A
2.15,21,102,0.43,1.3,col1,A
2.23,20,80,0.4,0.68,col1,A
2.48,21.5,86,0.47,0.86,col2,A
2.38,21.5,92,0.45,1.25,col2,A
2.36,21.5,113,0.34,1.14,col2,A
2.62,24,123,0.22,1.25,col2,A
2.48,22,112,0.24,1.26,col2,A
2.75,25.5,116,0.26,1.56,col2,A
2.28,18.5,98,0.61,1.87,col2,A
2.1,20,103,0.53,1.4,col2,A
2.32,22,93,0.61,1.55,col2,A
2.38,19.5,89,0.48,1.56,col2,A
2.64,27,97,0.63,1.14,col2,A
2.7,25,98,0.53,2.7,col2,A
2.64,22.5,89,0.52,2.29,col2,A
2.38,21,88,0.5,1.04,col2,A
2.54,20,107,0.5,0.8,col2,A
2.58,22,106,0.6,0.96,col2,A
2.35,18.5,106,0.4,0.94,col2,A
2.3,22,90,0.41,1.03,col2,A
2.26,22.5,88,0.52,1.15,col2,A
2.6,23,111,0.43,1.46,col2,A
2.3,19.5,88,0.4,0.97,col2,A
2.69,24.5,105,0.39,1.54,col2,A
2.86,25,112,0.27,1.11,col2,A
2.32,19,96,0.4,0.73,col2,A
2.28,19.5,86,0.48,0.64,col2,A
2.48,20,91,0.44,1.24,col2,A
2.45,20.5,95,0.52,1.06,col2,A
2.48,23,102,0.43,1.41,col2,A
2.26,20,120,0.43,1.35,col2,A
2.37,20,120,0.53,1.46,col2,A
2.74,24.5,96,0.56,1.35,col2,A
